id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,route_id
123,MK048,48 RAIN BC-LYL HT,210123,1048,0,local_bus,llocal_bus1,2_1048
266,MK180,180 Se Auburn-KentS*,210266,1180,0,local_bus,llocal_bus1,2_1180
93,MK036,36 RAINR BCH-SCBD,210093,1036,0,local_bus,llocal_bus1,2_1036
245,MK154,154 AUBURN-BOEING N*,210245,1154,0,local_bus,llocal_bus1,2_1154
581,PT045,45 YAKIMA,210581,2045,0,local_bus,llocal_bus1,2_2045
43,MK013,13 SPU-SEA CBD SB,210043,1013,0,local_bus,llocal_bus1,2_1013
405,ST560,560 BEL-STAC-WSEA,210405,6560,0,premium_bus,premium_bus1,2_6560
675,ET027,27 Murphys Conr-Mal*,210675,7027,0,local_bus,llocal_bus1,2_7027
236,MK148,148 FAIRWD-RENTON,210236,1148,0,local_bus,llocal_bus1,2_1148
567,PT053,53 Manitou,210567,2053,0,local_bus,llocal_bus1,2_2053
392,ST550,550 BELLVU-SEACBD,210392,6550,0,premium_bus,premium_bus1,2_6550
314,MK238,MK238a,210314,1238,0,local_bus,llocal_bus1,2_1238
282,MK204,204 S MI-MERCR IS,210282,1204,0,local_bus,llocal_bus1,2_1204
495,CT247,247 STNWD-EVT BOE,210495,3247,0,premium_bus,premium_bus1,2_3247
710,KT025,25 EAST PARK,210710,4025,0,local_bus,llocal_bus1,2_4025
455,MK927,927 SAMMISH-ISSQH,210455,1927,0,local_bus,llocal_bus1,2_1927
92,MK033,33 MAGNLIA-SEACBD,210092,1033,0,local_bus,llocal_bus1,2_1033
624,PT204,204 LAKEWD-PRKLND,210624,2204,0,local_bus,llocal_bus1,2_2204
175,MK075,75 BALLRD-NGAT-UW,210175,1075,0,local_bus,llocal_bus1,2_1075
481,CT414,414 MCOLM PR-SCBD,210481,3414,0,premium_bus,premium_bus1,2_3414
659,WFFAV,WSF FAUNTLR-VASHN,210659,5002,0,ferry,ferry1,2_5002
439,MK915,915 AUBRN-ENUMCLW,210439,1915,0,local_bus,llocal_bus1,2_1915
724,KT092,92 POUL-SUQ-KNGST,210724,4092,0,local_bus,llocal_bus1,2_4092
224,MK132,132 HL CC-BUR-SEA,210224,1132,0,local_bus,llocal_bus1,2_1132
8,MK003,3 N Q ANNE-MDRONA,210008,1003,0,local_bus,llocal_bus1,2_1003
